EXP 1														
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
1	265.249	2.55472	16.0373	2.31279	0.57478	0.08125	0.06628	0.03635	1.99984	15.1429	2.63844	0.0700369	0.00332924	0.00332924
2	511.464	1.92524	11.5825	1.8147	0.45102	0.22199	0.17044	0.08918	1.72831	14.9542	2.36446	0.0400303	0.00665606	0.00665606
3	753.074	1.78034	10.0794	1.66671	0.52814	0.25687	0.21583	0.12422	1.6548	12.7084	2.30915	0.00999784	0.00995689	0.00995689
4	995.44	1.67539	9.25721	1.61015	0.59677	0.2929	0.33085	0.20903	1.49308	9.52351	2.14436	0.00991232	0.00991232	0.00991232
5	1234.81	1.60889	8.38698	1.55729	0.4104	0.46609	0.4089	0.24427	1.61704	7.37864	2.188	0.00984449	0.00984449	0.00984449
6	1474.47	1.5332	7.68462	1.48689	0.66054	0.37414	0.4933	0.31554	1.47833	7.95952	2.07517	0.00975773	0.00975773	0.00975773
7	1715.93	1.51421	7.2103	1.46553	0.61856	0.44571	0.53336	0.35347	1.38287	6.53712	2.01695	0.00965239	0.00965239	0.00965239
8	1957.84	1.46413	6.61479	1.43592	0.58104	0.53041	0.5843	0.39652	1.3726	6.17554	1.98217	0.00952889	0.00952889	0.00952889
9	2200.49	1.43497	6.39765	1.41395	0.65928	0.55741	0.64911	0.44826	1.33918	5.44681	1.88185	0.00938772	0.00938772	0.00938772
10	2443.36	1.40388	6.00954	1.38953	0.65386	0.62558	0.73301	0.52444	1.20216	4.82434	1.80216	0.00922942	0.00922942	0.00922942
11	2685.11	1.3893	5.80122	1.38226	0.64315	0.66767	0.7235	0.51464	1.24979	4.94711	1.86157	0.00905463	0.00905463	0.00905463
12	2926.09	1.38091	5.59184	1.3707	0.68645	0.62134	0.73319	0.50071	1.30554	4.85812	1.90387	0.00886404	0.00886404	0.00886404
13	3167.49	1.37588	5.34861	1.3597	0.79464	0.61546	0.77029	0.54727	1.24336	4.6457	1.82622	0.00865839	0.00865839	0.00865839
14	3409.13	1.3213	5.13083	1.33285	0.66398	0.73868	0.77122	0.51235	1.36502	4.38368	1.92627	0.00843851	0.00843851	0.00843851
