epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.46,4.04031,23.8857,4.34111,0.00109,0.09295,0.00224,0.00069,3.09914,54.7234,4.97476,0.0700461,0.00332821,0.00332821
2,834.686,2.69515,14.9757,2.82082,0.39816,0.1853,0.11809,0.06029,1.9835,9.85432,2.82579,0.0400396,0.00665504,0.00665504
3,1886.19,1.91661,10.1659,1.90588,0.48983,0.22926,0.26002,0.1353,1.83159,8.51561,2.58647,0.0100071,0.00995587,0.00995587
4,2943.12,1.71671,7.98444,1.68991,0.50481,0.38469,0.35397,0.23581,1.45473,6.79539,2.24493,0.00991232,0.00991232,0.00991232
5,3476.97,1.56524,6.46502,1.54605,0.49775,0.4526,0.4906,0.31026,1.45877,5.60571,2.15346,0.00984449,0.00984449,0.00984449
6,3892.31,1.48552,5.54207,1.47379,0.58903,0.55143,0.57817,0.36362,1.39755,4.90224,2.06819,0.00975773,0.00975773,0.00975773
7,4143.11,1.42804,5.00295,1.42909,0.77961,0.52518,0.68255,0.44526,1.4196,3.88289,2.01788,0.00965239,0.00965239,0.00965239
8,4388.92,1.37767,4.51415,1.38434,0.75765,0.5464,0.69874,0.501,1.26472,4.29562,1.9208,0.00952889,0.00952889,0.00952889
9,5782.95,1.33579,4.24475,1.37475,0.67909,0.67577,0.72552,0.52555,1.12568,3.4284,1.78474,0.00938772,0.00938772,0.00938772
10,6446.55,1.30891,3.94309,1.34227,0.65244,0.64037,0.71612,0.52192,1.16982,3.80664,1.7827,0.00922942,0.00922942,0.00922942
11,6742.3,1.28736,3.7347,1.32211,0.71364,0.71269,0.79413,0.58455,1.07127,2.90336,1.69196,0.00905463,0.00905463,0.00905463
12,7424.77,1.25089,3.57527,1.30993,0.7742,0.73037,0.84054,0.62119,1.05527,2.876,1.66764,0.00886404,0.00886404,0.00886404
13,8114.7,1.24175,3.47252,1.28301,0.82496,0.76271,0.86812,0.62066,1.09359,2.84091,1.63864,0.00865839,0.00865839,0.00865839
14,8941.53,1.19931,3.23194,1.25864,0.82303,0.78097,0.86075,0.62494,1.06971,2.42319,1.65789,0.00843851,0.00843851,0.00843851
15,9592.97,1.20411,3.1818,1.25432,0.76413,0.83525,0.86701,0.6494,1.00529,2.38269,1.58213,0.00820525,0.00820525,0.00820525
16,11346.4,1.17023,3.03149,1.24541,0.85235,0.80986,0.8688,0.63812,1.01367,2.34786,1.5674,0.00795954,0.00795954,0.00795954
17,11593.4,1.15782,2.97029,1.23828,0.8944,0.80282,0.89854,0.6763,0.94926,2.2213,1.54135,0.00770234,0.00770234,0.00770234
18,11828.6,1.13116,2.89076,1.21589,0.80586,0.85308,0.88529,0.6727,0.9623,2.20488,1.54513,0.00743468,0.00743468,0.00743468
19,12063.7,1.10981,2.83801,1.20699,0.79629,0.83047,0.85776,0.66247,0.93376,2.17449,1.50129,0.00715761,0.00715761,0.00715761
20,12299.9,1.08468,2.74659,1.19663,0.78004,0.83703,0.88218,0.65214,1.05956,2.18917,1.62572,0.00687222,0.00687222,0.00687222
21,12536.4,1.07261,2.6786,1.18268,0.83778,0.84012,0.8944,0.68296,0.89407,2.02379,1.45152,0.00657963,0.00657963,0.00657963
22,12773.6,1.05218,2.6339,1.17391,0.86304,0.86043,0.89932,0.71264,0.82591,1.862,1.39443,0.00628101,0.00628101,0.00628101
23,13010.6,1.03363,2.53119,1.15962,0.85085,0.85644,0.88965,0.69985,0.87268,2.06061,1.43913,0.00597754,0.00597754,0.00597754
24,13245.8,1.01603,2.50975,1.15497,0.88184,0.81212,0.91104,0.71767,0.87572,1.87244,1.46019,0.0056704,0.0056704,0.0056704
25,13482.8,1.00203,2.40987,1.1523,0.87931,0.84175,0.90917,0.72975,0.78655,1.91939,1.36818,0.00536081,0.00536081,0.00536081
26,15088.5,0.99291,2.35798,1.13713,0.83558,0.88926,0.91678,0.73871,0.7949,1.82281,1.37783,0.00505,0.00505,0.00505
27,16961.3,0.97661,2.33806,1.12762,0.86318,0.85487,0.91749,0.74683,0.77959,1.64105,1.35311,0.00473919,0.00473919,0.00473919
28,18806.4,0.96385,2.28482,1.12312,0.85044,0.86568,0.91212,0.72763,0.85589,2.19576,1.45713,0.0044296,0.0044296,0.0044296
29,19154.9,0.95082,2.23402,1.11818,0.86466,0.87989,0.91628,0.73914,0.77415,1.79926,1.34795,0.00412246,0.00412246,0.00412246
30,19396,0.94664,2.20381,1.10943,0.85308,0.87613,0.90765,0.73538,0.78703,2.14402,1.37918,0.00381899,0.00381899,0.00381899
31,19637.1,0.93069,2.11973,1.10772,0.88403,0.83659,0.91583,0.73435,0.78886,1.96435,1.38113,0.00352037,0.00352037,0.00352037
32,19877.8,0.92258,2.10929,1.10148,0.8048,0.88315,0.9152,0.74091,0.81301,1.81165,1.39187,0.00322778,0.00322778,0.00322778
